PERMNO,date,TICKER,PRC
59328,20160720,INTC,35.69000
59328,20160721,INTC,34.27000
59328,20160722,INTC,34.66000
59328,20160725,INTC,34.69000
59328,20160726,INTC,35.09000
59328,20160727,INTC,34.83000
59328,20160728,INTC,34.77000
59328,20160729,INTC,34.86000
59328,20160801,INTC,34.85000
59328,20160802,INTC,34.56000
59328,20160803,INTC,34.25000
59328,20160804,INTC,34.58000
59328,20160805,INTC,34.98000
59328,20160808,INTC,35.04000
59328,20160809,INTC,34.92000
59328,20160810,INTC,34.53000
59328,20160811,INTC,34.68000
59328,20160812,INTC,34.57000
59328,20160815,INTC,34.91000
59328,20160816,INTC,35.21000
59328,20160817,INTC,35.02000
59328,20160818,INTC,34.97000
59328,20160819,INTC,35.24000
59328,20160822,INTC,35.36000
59328,20160823,INTC,35.40000
59328,20160824,INTC,35.15000
59328,20160825,INTC,35.09000
59328,20160826,INTC,35.26000
59328,20160829,INTC,35.55000
59328,20160830,INTC,35.70000
59328,20160831,INTC,35.89000
59328,20160901,INTC,36.02000
59328,20160902,INTC,36.08000
59328,20160906,INTC,36.57000
59328,20160907,INTC,36.46000
59328,20160908,INTC,36.44000
59328,20160909,INTC,35.44000
59328,20160912,INTC,36.08000
59328,20160913,INTC,35.61000
59328,20160914,INTC,35.62000
59328,20160915,INTC,36.56000
59328,20160916,INTC,37.67000
59328,20160919,INTC,37.16000
59328,20160920,INTC,37.14000
59328,20160921,INTC,37.45000
59328,20160922,INTC,37.55000
59328,20160923,INTC,37.19000
59328,20160926,INTC,36.65000
59328,20160927,INTC,37.18000
59328,20160928,INTC,37.44000
59328,20160929,INTC,37.32000
59328,20160930,INTC,37.75000
59328,20161003,INTC,37.66000
59328,20161004,INTC,37.54000
59328,20161005,INTC,37.99000
59328,20161006,INTC,38.07000
59328,20161007,INTC,38.10000
59328,20161010,INTC,38.02000
59328,20161011,INTC,37.27000
59328,20161012,INTC,37.13000
59328,20161013,INTC,36.97000
59328,20161014,INTC,37.45000
59328,20161017,INTC,37.29000
59328,20161018,INTC,37.75000
59328,20161019,INTC,35.51000
59328,20161020,INTC,35.43000
59328,20161021,INTC,35.15000
59328,20161024,INTC,35.26000
59328,20161025,INTC,35.10000
59328,20161026,INTC,34.92000
59328,20161027,INTC,34.81000
59328,20161028,INTC,34.74000
59328,20161031,INTC,34.87000
59328,20161101,INTC,34.52000
59328,20161102,INTC,34.60000
59328,20161103,INTC,33.93000
59328,20161104,INTC,33.61000
59328,20161107,INTC,34.69000
59328,20161108,INTC,34.74000
59328,20161109,INTC,34.75000
59328,20161110,INTC,34.50000
59328,20161111,INTC,34.61000
59328,20161114,INTC,34.48000
59328,20161115,INTC,34.91000
59328,20161116,INTC,34.84000
59328,20161117,INTC,35.02000
59328,20161118,INTC,34.95000
59328,20161121,INTC,34.98000
59328,20161122,INTC,35.48000
59328,20161123,INTC,35.20000
59328,20161125,INTC,35.44000
59328,20161128,INTC,35.51000
59328,20161129,INTC,35.31000
59328,20161130,INTC,34.70000
59328,20161201,INTC,33.76000
59328,20161202,INTC,34.16000
59328,20161205,INTC,34.39000
59328,20161206,INTC,34.72000
59328,20161207,INTC,35.50000
59328,20161208,INTC,35.70000
59328,20161209,INTC,35.76000
59328,20161212,INTC,35.97000
59328,20161213,INTC,36.80000
59328,20161214,INTC,36.55000
59328,20161215,INTC,36.79000
59328,20161216,INTC,36.31000
59328,20161219,INTC,36.89000
59328,20161220,INTC,37.21000
59328,20161221,INTC,36.98000
59328,20161222,INTC,36.93000
59328,20161223,INTC,36.97000
59328,20161227,INTC,37.07000
59328,20161228,INTC,36.63000
59328,20161229,INTC,36.66000
59328,20161230,INTC,36.27000
59328,20170103,INTC,36.60000
59328,20170104,INTC,36.41000
59328,20170105,INTC,36.35000
59328,20170106,INTC,36.48000
59328,20170109,INTC,36.61000
59328,20170110,INTC,36.54000
59328,20170111,INTC,36.95000
59328,20170112,INTC,36.71000
59328,20170113,INTC,36.79000
59328,20170117,INTC,36.80000
59328,20170118,INTC,36.76000
59328,20170119,INTC,36.57000
59328,20170120,INTC,36.94000
59328,20170123,INTC,36.77000
59328,20170124,INTC,37.62000
59328,20170125,INTC,37.80000
59328,20170126,INTC,37.56000
59328,20170127,INTC,37.98000
